id,x_centroid,y_centroid
1,-81.476771,33.318998
2,-84.441993,31.152976
3,-83.487778,31.76304
4,-83.327486,31.334884
5,-79.146471,34.864925
6,-81.280291,32.871705
7,-80.814326,33.652341
8,-81.255752,33.072195
9,-81.328775,32.812289
10,-81.462342,32.68825
11,-84.328517,31.12045
12,-75.842975,38.612934
13,-84.409647,31.776629
14,-81.463378,32.711494
15,-84.44067,31.498244
16,-81.406743,32.924934
17,-79.209639,34.418579
18,-79.313213,34.84376
19,-81.373841,32.847913
20,-84.419928,31.157268
21,-74.716698,39.815181
22,-81.593716,32.569678
23,-81.328709,33.116601
24,-80.351,33.610338
25,-81.621685,32.672143
26,-82.463759,33.205112
27,-80.91594,33.412236
28,-81.626361,32.612274
29,-81.480063,33.317602
30,-79.810029,33.603898
31,-78.210756,34.6352
32,-81.384303,33.346443
33,-77.282621,37.386248
34,-81.335637,33.276834
35,-81.193992,33.272664
36,-81.935618,32.881335
37,-82.227588,32.656983
38,-78.416581,35.047643
39,-84.185825,31.26262
40,-79.770355,33.749433
41,-77.346637,36.601872
42,-78.480497,34.478322
43,-81.322259,33.360614
44,-81.378382,33.35485
45,-81.390628,33.210084
46,-81.095907,33.297855
47,-81.283572,33.306014
48,-81.11846,33.269853
49,-79.729313,34.224107
50,-84.386902,31.134412
51,-81.489651,32.722368
52,-81.095943,33.297749
53,-84.30941,31.814447
54,-81.931639,32.718126
55,-83.474714,31.843496
56,-81.155064,32.871347
57,-81.332561,32.968708
58,-84.230249,31.701261
59,-81.298279,32.987013
60,-77.417999,36.382732
61,-81.332841,33.285714
62,-81.361085,32.835835
63,-85.494832,31.163307
64,-81.488215,33.253069
65,-81.366567,32.845415
66,-79.905972,34.410384
67,-81.545255,32.986663
68,-81.094903,33.262469
69,-78.488542,35.184599
70,-81.436071,33.334769
71,-81.234897,33.26882
72,-81.309887,33.094417
73,-81.886105,33.113622
74,-79.418752,34.792506
75,-78.539945,35.110182
76,-75.372683,38.217177
77,-81.831279,33.740149
78,-81.194021,33.272524
79,-74.589741,39.362316
80,-79.811505,33.641947
81,-85.622575,31.079778
82,-83.557692,32.316011
83,-83.422079,32.126618
84,-84.653278,31.501843
85,-84.495102,31.686028
86,-81.607375,32.759927
87,-81.341304,33.302373
88,-81.298171,32.987135
89,-81.126042,33.500633
90,-81.337392,32.792405
91,-83.485474,31.7283
92,-84.431993,31.305623
93,-81.502192,32.599492
94,-77.929221,35.476092
95,-81.553928,33.224112
96,-84.435032,31.16263
97,-81.194125,33.401782
98,-81.328178,33.117155
99,-79.071701,34.924615
100,-80.07368,33.749851
101,-81.004663,33.16393
102,-80.981841,33.156325
103,-78.693772,33.841748
104,-82.096673,32.908857
105,-81.507783,33.338038
106,-80.496374,33.501807
107,-81.339933,32.780526
108,-77.406023,36.711898
109,-83.557304,32.316237
110,-84.464848,31.144009
111,-83.745412,32.613087
112,-81.616116,32.585483
113,-81.2933,33.070836
114,-78.271432,34.636273
115,-85.682517,31.130185
116,-81.360864,32.918459
117,-83.248645,32.417166
118,-80.821835,33.857782
119,-84.309052,31.81694
120,-75.946098,37.32678
121,-75.930157,39.284096
122,-78.28645,34.646139
123,-78.765994,34.278987
124,-84.551993,31.15982
125,-81.777824,33.822398
126,-84.307992,31.926262
127,-81.264316,33.270023
128,-85.682182,31.13007
129,-74.977884,39.378614
130,-84.18411,31.26221
131,-79.831056,34.387415
132,-74.322421,39.653304
133,-81.281695,33.344984
134,-82.040762,32.981823
135,-75.879709,37.448036
136,-81.503052,32.65999
137,-84.494411,31.223892
138,-84.374787,31.060334
139,-84.465817,31.305478
140,-81.439947,33.232138
141,-81.678596,33.33676
142,-84.280444,31.199945
143,-77.859731,36.118479
144,-81.39053,32.901955
145,-77.279334,35.844992
146,-81.142497,33.27867
147,-79.501098,34.866246
148,-84.228534,31.797479
149,-84.621807,31.193069
150,-78.322959,34.691359
151,-81.311718,32.701397
152,-74.65105,39.363236
153,-84.438982,31.174009
154,-83.421566,32.104341
155,-81.126064,33.50075
156,-81.315458,33.132308
157,-84.312235,31.382143
158,-81.320495,32.968778
159,-81.927139,32.210409
160,-81.362563,32.952745
161,-84.312388,31.382216
162,-78.379157,35.593201
163,-79.523908,33.233085
164,-81.152997,33.448628
165,-78.69855,34.825724
166,-84.311582,31.173023
167,-75.235016,39.411817
168,-81.503007,32.660139
169,-80.416372,33.866307
170,-84.439098,31.174013
171,-82.853846,32.869383
172,-81.425383,33.352042
173,-80.992119,33.439516
174,-79.934678,34.383785
175,-80.670246,33.720612
176,-84.147107,31.353783
177,-77.929431,35.202055
178,-79.127354,34.782643
179,-75.483092,39.151188
180,-81.185928,33.124713
181,-84.443538,31.132635
182,-81.15295,33.2966
183,-82.250441,33.121466
