id,x_centroid(lon),y_centroid(lat),perimeter(m),area(m_sq),majority_landuse,min_elev(m),max_elev(m),range_elev(m),mean_elev(m),std_elev(m),xmin(lon),ymin(lat),xmax(lon),ymax(lat),bearing(deg),length_to_width_ratio,diagonal(m),lengths(m),widths(m),STATE_NAME,SUB_REGION
816,-79.816515,33.441252,3603.912758,811324.5909,556,12.286539,19.428043,7.141504,17.330544,1.079201,-80.295556,33.579683,-80.290024,33.584846,-8.947320989,1.120246875,769.5491259,574.0994074,512.4757946,South Carolina,South Atlantic
817,-75.76199,39.018135,748.1056,34672.6383,103,9.617231,16.752117,7.134886,14.209978,1.305475,-75.831787,39.026751,-75.830309,39.028058,-12.21931176,1.138315964,193.4459047,145.3317715,127.6726112,Maryland,South Atlantic
818,-78.734573,34.763469,5764.472555,2058581.233,399,19.249697,26.384045,7.134348,23.11171,0.822179,-79.643395,34.638588,-79.629606,34.650593,-8.909071891,1.058179942,1836.599958,1334.895095,1261.501038,North Carolina,South Atlantic
819,-78.592223,34.925998,3846.625647,923000.3346,556,30.210634,37.340565,7.12993,33.920131,2.091533,-79.617802,34.667075,-79.613313,34.671006,-8.97377002,1.064713655,599.6645961,437.1072575,410.539731,North Carolina,South Atlantic
820,-81.137561,33.222323,1159.214895,83950.7845,11,59.985565,67.113449,7.127884,62.3718,1.698867,-80.963149,32.273185,-80.959286,32.27674,-8.229755847,1.088416736,536.8049374,395.2979613,363.1862211,South Carolina,South Atlantic
821,-81.215439,32.825754,2206.922026,302096.7167,38,33.16153,40.289402,7.127872,35.84898,1.260819,-78.545337,35.106266,-78.534553,35.114097,-8.215890554,1.126580047,1311.672005,980.9892591,870.7674718,South Carolina,South Atlantic
822,-84.127514,31.718399,1539.717305,147824.3602,556,69.575218,76.702545,7.127327,73.020903,1.677357,-84.241069,31.31461,-84.238049,31.31757,-5.620261976,1.147257676,436.6171677,329.1369814,286.8901975,Georgia,South Atlantic
823,-84.239102,31.698844,3943.920386,933542.1449,263,75.872498,82.999146,7.126648,77.376505,1.874612,-84.289538,31.277651,-84.28332,31.284034,-5.838773773,1.201102388,923.536616,709.7572151,590.9214919,Georgia,South Atlantic
824,-79.565195,34.376993,4267.328822,1138126.165,556,33.829346,40.95269,7.123344,37.574757,0.934335,-79.600025,34.687654,-79.595893,34.690888,-8.046808682,1.050589349,521.5745162,377.7965471,359.604395,South Carolina,South Atlantic
825,-84.176381,31.468247,3778.676581,870485.7838,574,51.046658,58.169342,7.122684,54.97641,1.804132,-84.441542,31.171667,-84.436423,31.17635,-5.0687912,1.069197495,712.9775282,520.7258385,487.0249329,Georgia,South Atlantic
826,-75.115908,39.794677,557.8596,19447.63896,581,21.911509,29.031788,7.120279,25.095683,1.44092,-75.810331,39.075842,-75.807732,39.07791,-11.04328161,1.024962102,321.2620961,229.9511061,224.3508376,New Jersey,Middle Atlantic
827,-84.348023,31.091999,2108.906332,277643.9877,556,39.192238,46.309479,7.117241,42.111616,1.902285,-84.756614,30.854202,-84.752594,30.857796,-4.674657649,1.041416148,554.0395156,399.6345656,383.741472,Georgia,South Atlantic
828,-81.481068,32.668048,1941.817487,235475.991,216,27.995625,35.112366,7.116741,29.811782,1.245817,-81.537804,32.910835,-81.527442,32.923889,-10.51688196,1.500619057,1744.271291,1451.538574,967.2931761,Georgia,South Atlantic
829,-81.09069,33.262463,1416.507442,123472.109,568,47.354687,54.463779,7.109093,49.576308,1.462489,-81.489615,32.659817,-81.48064,32.668735,-8.375269349,1.180260683,1299.685228,991.6363573,840.184183,South Carolina,South Atlantic
830,-75.882962,36.249188,4526.7848,1272774.832,556,-0.762002,6.345598,7.107599,3.562618,0.657105,-74.888471,39.037053,-74.884258,39.040446,-11.86593277,1.036853483,524.1580826,377.2843885,363.8743514,North Carolina,South Atlantic
831,-79.507412,34.529585,3500.211812,765354.3224,556,46.235199,53.340469,7.10527,48.773633,1.341684,-79.569838,34.781945,-79.566108,34.784971,-8.359949064,1.012411495,478.8063665,340.652017,336.4758487,South Carolina,South Atlantic
832,-79.683706,34.534912,9999.660676,6195074.016,556,35.844608,42.946712,7.102104,39.726597,0.91025,-79.612937,34.765688,-79.605234,34.772093,-8.534129598,1.012177108,1001.148338,712.2035048,703.6352622,South Carolina,South Atlantic
833,-84.219321,31.342969,2052.684527,263343.6497,38,49.219383,56.31879,7.099407,51.108396,1.655632,-84.220995,31.837272,-84.214305,31.843097,-5.016570136,1.024898868,904.9287258,647.7104499,631.9749881,Georgia,South Atlantic
834,-81.245842,32.721732,5026.394847,1572639.204,38,32.173119,39.269039,7.095921,35.462836,1.187655,-81.30451,32.90418,-81.299728,32.914617,-18.27356833,2.59958431,1243.437096,1160.541451,446.4334726,South Carolina,South Atlantic
835,-84.309915,31.138643,3398.378653,710139.4393,38,37.554676,44.64819,7.093513,40.538101,1.277132,-75.583765,37.812163,-75.579034,37.815268,-9.286766034,1.203738403,540.2992125,415.6030155,345.2602448,Georgia,South Atlantic
836,-81.193281,33.254984,1782.777055,197476.8626,557,67.542984,74.634796,7.091812,69.468532,2.043203,-81.693167,32.66932,-81.690137,32.672743,-9.274304637,1.34200887,474.6670963,380.6202366,283.6197621,South Carolina,South Atlantic
837,-80.169775,34.22735,4492.741371,1094054.127,257,58.844872,65.936211,7.091339,61.868394,0.957496,-84.824407,31.104175,-84.817405,31.11261,-6.21068524,1.406931078,1150.692236,937.929208,666.6490084,South Carolina,South Atlantic
838,-81.37621,33.280534,1956.728418,237727.6974,38,74.895096,81.985962,7.090866,78.365329,2.166688,-81.273889,32.714473,-81.255647,32.731719,-8.180278012,1.123638714,2567.01575,1917.667706,1706.658627,South Carolina,South Atlantic
839,-80.495957,33.823164,2444.481091,373216.7469,213,58.934013,66.023392,7.089378,60.631629,1.492415,-80.914095,33.321372,-80.909355,33.326046,-8.856834495,1.180077787,681.2268224,519.7250902,440.4159589,South Carolina,South Atlantic
840,-74.846357,39.964789,1318.2012,106575.7804,103,10.161037,17.249924,7.088886,12.227284,1.519552,-74.667435,39.935083,-74.665568,39.936428,-10.79135055,1.064359652,218.4169386,159.1826245,149.5571767,New Jersey,Middle Atlantic
841,-79.837435,33.36774,4709.794506,1384055.965,242,12.237642,19.323139,7.085497,15.011844,1.15277,-80.10757,33.664309,-80.095783,33.675457,-9.241715747,1.13635492,1651.189309,1239.601041,1090.857283,South Carolina,South Atlantic
842,-80.363283,34.089622,1491.912256,137660.5378,11,62.651817,69.735428,7.083611,65.557944,1.786351,-84.119452,31.502923,-84.116105,31.506048,-5.467720638,1.095070551,470.565342,347.4841484,317.3166772,South Carolina,South Atlantic
843,-81.328736,32.870874,10276.85014,6598073.568,38,38.938919,46.017967,7.079048,40.725616,0.975969,-82.04904,32.838,-82.044057,32.842226,-6.695887799,1.009374285,661.4662293,469.9097594,465.5456025,South Carolina,South Atlantic
844,-82.204518,32.875736,2544.377161,390277.2994,556,72.883362,79.959961,7.076599,77.081409,1.492657,-78.725072,34.839328,-78.720809,34.842634,-8.627220337,1.058344911,535.2550379,389.0586215,367.6104242,Georgia,South Atlantic
845,-84.421532,31.617794,1935.502132,232865.9552,36,72.497009,79.568474,7.071465,74.158425,1.726226,-84.435141,31.319395,-84.427323,31.326022,-4.705997435,1.007814075,1046.179072,742.6468842,736.88878,Georgia,South Atlantic
846,-80.701684,33.688149,2009.469883,250524.0723,556,75.773262,82.843658,7.070396,78.318605,1.744404,-80.968262,33.220106,-80.963826,33.225987,-11.76401469,1.584733569,773.2406596,653.9373632,412.6481422,South Carolina,South Atlantic
847,-81.923427,33.146087,3361.293909,693055.6926,254,88.717209,95.786736,7.069527,91.204429,1.026727,-81.547655,33.309174,-81.544388,33.313249,-10.3946607,1.492512494,545.4197804,453.1193251,303.5949963,Georgia,South Atlantic
