dist_to_water(m),car_bay_x_centroid(lon),car_bay_y_centroid(lat),perim_bay,xmin_bay(lon),ymin_bay(lat),xmax_bay(lon),ymax_bay(lat),area_water_body(km_sq),FType,FCode,area_bay(m_sq),perim_water(m)
104.411662,-75.690552,39.143596,550.086897,-75.69128,39.142919,-75.689825,39.144273,0.001,436,43613,18760.51114,0.00138
277.147924,-75.710428,39.14039,1062.287294,-75.71194,39.139167,-75.708916,39.141613,0.001,390,39004,70502.73182,0.001212
346.192081,-75.710098,39.148501,651.236565,-75.71106,39.147778,-75.709136,39.149223,0.001,390,39004,26498.1296,0.001524
344.724839,-75.707941,39.153718,1267.495263,-75.709795,39.152297,-75.706087,39.155139,0.002,466,46600,100402.661,0.001825
64.442209,-75.694759,39.146736,1227.050432,-75.69665,39.145436,-75.692867,39.148035,0.001,436,43613,93732.38173,0.00138
272.221755,-75.713265,39.155743,726.117456,-75.714356,39.154952,-75.712174,39.156535,0.003,466,46600,32910.6318,0.002158
69.549658,-75.687932,39.153089,633.63218,-75.688906,39.152416,-75.686958,39.153762,0.005,466,46600,25003.46239,0.002652
16.538229,-75.679528,39.152533,1677.684186,-75.681915,39.150601,-75.677142,39.154465,0.004,466,46600,175846.9585,0.002322
284.781417,-75.681727,39.145801,1190.81485,-75.683368,39.144389,-75.680085,39.147213,0.001883,390,39004,88405.63547,0.002022
105.160119,-75.657499,39.141313,1253.948712,-75.659242,39.139839,-75.655755,39.142788,0.051,466,46600,98105.25341,0.010029
278.948325,-75.6659,39.152667,927.815181,-75.66721,39.151591,-75.664591,39.153743,0.002,466,46600,53762.75941,0.001671
386.885612,-75.675558,39.147899,564.947755,-75.676318,39.147213,-75.674799,39.148584,0.001883,390,39004,19838.06113,0.002022
576.168803,-75.662279,39.131515,829.104033,-75.66338,39.1305,-75.661177,39.13253,0.051,466,46600,42659.19488,0.010029
304.225477,-75.669144,39.152454,831.278864,-75.670282,39.151462,-75.668006,39.153445,0.002,466,46600,43052.41335,0.001671
588.491235,-75.656388,39.145305,949.178703,-75.657722,39.144201,-75.655053,39.14641,0.051,466,46600,56256.54085,0.010029
175.110975,-75.676735,39.154155,1024.993006,-75.678305,39.153061,-75.675166,39.155249,0.000393,390,39004,65461.21389,0.000902
520.556269,-75.677027,39.145332,393.218744,-75.677595,39.144886,-75.676459,39.145778,0.001883,390,39004,9663.623739,0.002022
245.19821,-75.684358,39.14574,1401.949775,-75.685519,39.143477,-75.683196,39.148003,0.004,466,46600,99957.5967,0.002322
58.098437,-75.662244,39.139285,3566.041072,-75.667074,39.134991,-75.657415,39.143579,0.051,466,46600,791269.002,0.010029
436.952393,-75.662373,39.133479,903.552518,-75.663728,39.132493,-75.661018,39.134464,0.051,466,46600,50965.39719,0.010029
189.418187,-75.677769,39.148236,620.872343,-75.67869,39.14755,-75.676848,39.148921,0.001883,390,39004,24080.31764,0.002022
192.317721,-75.677159,39.150057,696.249139,-75.678205,39.149298,-75.676113,39.150815,0.001883,390,39004,30258.36462,0.002022
317.481799,-75.655103,39.142639,786.863592,-75.656259,39.141762,-75.653947,39.143516,0.051,466,46600,38690.25858,0.010029
82.680175,-75.677087,39.139311,522.681608,-75.677871,39.138742,-75.676302,39.139881,0.041,466,46600,17053.43427,0.009548
