water_area(km_sq),FType,FCode,water_perim(m),bay_perim(m),bay_area(m_sq),x_centroid_bay(lon),y_centroid_bay(lat)
0.233207,466,46600,0.018364,2993.046023,553893.8477,-81.331658,32.85052
0.052511,466,46600,0.008655,1589.38778,157028.3144,-81.406406,32.866574
0.121171,466,46600,0.012554,9551.60502,2117649.392,-81.298837,32.880277
0.023718,466,46600,0.005489,1288.720172,102663.5258,-81.402491,32.881765
0.164882,466,46600,0.01717,7643.064977,2086262.622,-81.402401,32.929754
0.01355,466,46600,0.004147,1140.66049,81297.61518,-81.286813,32.895683
0.049761,466,46600,0.008261,3770.021323,631652.9788,-81.28984,32.928516
0.030926,466,46600,0.00671,1481.969572,136277.4581,-81.337918,32.846508
0.002127,466,46600,0.001637,3745.600778,563131.5073,-81.233963,32.882051
0.024462,466,46600,0.005714,16622.79054,5783131.575,-81.299089,32.910345
0.035216,466,46600,0.006889,1315.092144,106500.5242,-81.214838,32.874321
0.022399,466,46600,0.005424,1102.785283,75856.44226,-81.247762,32.865739
0.073113,466,46600,0.009548,1534.257201,147077.8778,-81.259793,32.861844
0.01496,466,46600,0.005003,2053.806552,261269.9402,-81.227217,32.82743
0.044189,466,46600,0.009001,2060.442774,265174.0387,-81.246713,32.84899
0.012467,466,46600,0.004108,1083.423206,73351.16719,-81.132733,32.87122
0.002503,466,46600,0.001791,3361.616913,698564.6347,-81.155248,32.871475
0.015227,466,46600,0.00513,1139.101906,80033.15081,-81.426236,32.921619
0.08194,466,46600,0.010318,1863.092755,213581.3989,-81.413416,32.920622
0.143932,466,46600,0.013735,2370.496864,349232.1728,-81.389973,32.90756
0.022221,466,46600,0.005442,2628.579908,361344.9811,-81.391402,32.901921
0.094097,466,46600,0.013728,2653.4477,436505.7232,-81.381545,32.917627
0.036013,466,46600,0.006935,1586.958217,155548.7851,-81.296649,32.930773
0.586054,466,46600,0.027545,12817.67014,4629394.252,-81.358844,32.955953
0.003689,390,39004,0.004147,4617.365943,1319133.043,-81.199282,32.940299
0.25331,466,46600,0.018138,5127.073544,1307938.648,-81.281731,32.96658
0.006149,466,46600,0.002803,5734.172688,1526332.657,-81.334381,32.963493
0.026541,466,46600,0.005773,1482.203942,136589.7072,-81.247359,32.929911
0.00151,390,39004,0.001674,1803.607563,203232.6489,-81.202666,32.920783
0.008795,466,46600,0.00339,2314.92341,334024.3849,-81.242472,32.890951
0.260932,466,46600,0.019021,3621.518735,704402.5482,-81.200815,32.927675
0.137339,466,46600,0.013251,2957.119117,542873.312,-81.164744,32.913021
0.037227,466,46600,0.006813,1494.3899,139401.1043,-81.152987,32.924166
0.042628,466,46600,0.007516,1301.235979,105287.7485,-81.208061,32.926857
0.030489,466,46600,0.00629,1525.831095,143235.3272,-81.20218,32.911088
0.011533,466,46600,0.004027,1107.205834,76595.91569,-81.217658,32.895821
0.075619,466,46600,0.014886,5315.848222,1271142.183,-81.068828,32.913712
0.036911,466,46600,0.007732,4314.413361,774153.4921,-81.14717,32.889039
0.089858,466,46600,0.013877,2388.261883,354431.5052,-81.104183,32.900642
0.068966,466,46600,0.010722,2751.784569,456190.302,-81.082179,32.902121
0.017784,466,46600,0.005112,2003.057045,249222.8983,-81.10634,32.895437
0.026265,466,46600,0.007071,1737.390063,185626.6021,-81.125104,32.883635
0.028746,466,46600,0.007706,1433.24269,126374.3072,-81.066703,32.931422
0.007517,466,46600,0.003308,3327.655363,675976.294,-81.052556,32.908881
0.292207,466,46600,0.020415,6537.571817,1756144.307,-81.379267,32.945677
0.212571,466,46600,0.023527,3307.989652,675930.0346,-81.411929,32.960715
0.07638,466,46600,0.009864,4042.044306,795395.2623,-81.383561,32.979208
0.038173,466,46600,0.006992,1294.245386,104629.1476,-81.39172,32.97434
0.520039,466,46600,0.025942,7393.410645,1512917.763,-81.322205,32.971121
0.03435,466,46600,0.006715,1416.676923,123046.8056,-81.278446,32.957656
0.062253,466,46600,0.009246,1995.638035,244842.0686,-81.274333,32.974564
0.031012,466,46600,0.00651,1357.657425,114666.9512,-81.275804,32.953035
0.121377,466,46600,0.014111,3726.690925,862215.1416,-81.196583,32.956774
0.432523,466,46600,0.025132,18470.39709,16942451.97,-79.558654,34.390932
0.000606,390,39004,0.001113,6190.407966,2063054.771,-79.523405,34.383478
0.001663,390,39004,0.001503,1039.351699,67495.20924,-79.784539,32.98393
0.000626,390,39004,0.001036,1092.795162,74452.21443,-79.918008,34.180333
0.003757,466,46600,0.002189,9828.857046,5093020.388,-79.601909,34.483432
0.000703,390,39004,0.001111,8714.501259,4447206.832,-79.483753,34.326873
0.000758,390,39004,0.001284,11006.71425,5881394.992,-79.411376,34.385965
0.001119,390,39004,0.001529,4286.345168,1038323.081,-79.417437,34.365425
0.000748,390,39004,0.001144,4304.523704,1129457.753,-79.342163,34.317555
0.009351,390,39004,0.005988,4281.9148,936713.7031,-79.727,34.224609
0.482531,466,46600,0.029026,12244.98609,6975581.792,-79.337205,34.16323
0.041772,466,46600,0.007515,1604.837411,160154.6301,-79.300311,34.340573
0.024758,466,46600,0.006109,41324.69127,36393603.06,-79.314579,34.208369
0.001906,466,46600,0.001676,9004.629943,5035473.572,-79.277487,34.376637
0.001503,390,39004,0.001715,2333.772372,274336.3191,-79.402291,34.441164
0.545527,466,46600,0.026891,3786.754819,894643.2269,-79.107622,34.313218
0.00078,390,39004,0.001127,7899.072831,3817029.461,-79.829557,34.11008
0.000525,390,39004,0.000857,1629.882768,165940.4154,-79.87726,34.42222
0.000531,390,39004,0.00102,1337.045183,111582.9354,-79.871906,34.331612
0.00039,390,39004,0.000886,5494.263209,1873696.477,-79.934673,34.383446
0.000392,390,39004,0.000809,12437.55226,7406232.341,-79.804151,34.343582
2.374398,466,46600,0.063922,15537.3223,8254289.905,-79.631203,34.48263
0.003687,390,39004,0.002735,11094.69775,4406911.591,-79.474613,34.488946
0.000332,436,43613,0.000785,1839.063937,211546.3626,-79.214039,34.398873
0.001835,390,39004,0.002062,1931.177611,230837.6938,-79.885482,34.436722
0.002123,390,39004,0.001861,2303.391571,331220.5567,-79.700622,34.540804
